Date,TwoEngine_70_30,Engine1_Carry,Engine2_Directional,SP500_SPY,NASDAQ_QQQ,60_40_SPY_AGG,BTC_Overlay_30pct
2017-11-09,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2017-11-10,1001067.5606583852,1001467.9397094821,1000133.5891116064,999689.7683251239,999934.7932106104,998205.5807165516,978118.7258400423
2017-11-13,999106.2019034906,998493.7958428125,1000534.4635322662,1000619.3190801769,1001171.1013573497,998762.4831360738,977382.0280940091
2017-11-14,997663.3480687623,996376.6732691597,1000668.124042381,998295.3075725944,997527.2788724552,997773.7870643424,980882.2996562239
2017-11-15,998058.9097812794,996883.9876103048,1000801.8024080845,993298.4169568905,992843.2927793232,995545.4757570868,1011119.5549470903
2017-11-16,1000690.4054190555,1000581.7675648545,1000935.4986317622,1001742.7225632931,1005530.7308485983,1000186.2240183075,1034274.6346787441
2017-11-17,1000119.887257329,999709.5443170761,1001069.2127157997,998798.7861857584,1001691.8121658678,998862.4250175852,1027958.1353799187
2017-11-20,1001389.1054391499,1001349.702512764,1001470.4621539316,1000503.0747533139,1000910.9032041905,999665.7390378569,1047658.2880886951
2017-11-21,1001865.4780515566,1001972.8782882208,1001604.2477032708,1007049.3063740727,1011777.1638694841,1003992.7536054911,1042797.6473267811
2017-11-22,1000525.9015386048,1000001.626979796,1001738.0511249026,1006158.5261646322,1013013.57685029,1004157.6885642909,1049960.661973969
2017-11-24,1002275.2466587661,1002384.9587248547,1002005.7115945948,1008482.2684323147,1016722.0819542413,1005475.7093769088,1050315.8302959565
2017-11-27,996664.7297143885,994203.2477080702,1002407.3364010269,1007978.9917490756,1016266.6827691793,1005174.6436095082,1107954.3486778785
2017-11-28,994705.8308535086,991354.8114946954,1002541.2471065643,1018204.6558444339,1018869.5029733037,1011292.9724716326,1116198.0565522383
2017-11-29,991789.552842396,987145.9775561888,1002675.175701114,1017584.9329044069,1001106.313904226,1009926.5519173776,1110636.794636267
2017-11-30,991670.3668967469,986919.9925543218,1002809.1221870657,1026493.8792683859,1009499.7486079085,1014566.3021853715,1122364.8675466063
2017-12-01,989759.6219081153,984146.9289499194,1002943.0865668093,1024363.5858689166,1005205.640408249,1014462.3659171963,1146883.3651057382
2017-12-04,991042.3442835761,985799.9967458928,1003345.0870926984,1023124.2072988376,993623.8872388005,1013688.6808786045,1168301.8163024727
2017-12-05,986966.0953201731,979951.1476800183,1003479.1230715177,1019444.438274363,994274.3826216987,1011910.0738556441,1176213.3089350318
2017-12-06,986323.1108874942,978983.0225290313,1003613.1769560843,1019637.8871425759,998764.0063554604,1012432.7302385987,1246643.2141101232
2017-12-07,986526.6487301687,979215.5778130804,1003747.2487487902,1022852.8134795489,1002147.5258531291,1013829.6881551929,1341182.4280090844
2017-12-08,987009.5807413342,979844.3053538208,1003881.3384520279,1028430.7911096173,1006571.9427975013,1016998.4414678563,1311404.9950053396
2017-12-11,982719.0113018554,973595.1047653379,1004283.7150488589,1031529.4731197273,1014379.8792395422,1018687.7407795141,1322707.7038940855
2017-12-12,981614.2107723274,971975.7309266669,1004417.8764181529,1033349.8040842208,1013013.57685029,1019579.7148919483,1334044.5038451492
2017-12-13,983722.5310541488,974902.395285767,1004552.0557099452,1033233.6943773079,1014965.272667117,1020669.90505271,1311023.3397164727
2017-12-14,982618.8447221918,973284.0217221746,1004686.2529266297,1029011.6761940566,1014249.5704948293,1018279.3033456577,1314880.5047748107
2017-12-15,982849.0957816219,973554.1040695354,1004820.4680706013,1037580.6398742,1025766.4313770878,1023479.0352886856,1342221.1170964101
2017-12-18,984031.8339868382,975059.6165778924,1005223.2210901882,1044160.3918625198,1034366.8085281256,1026849.472867075,1375159.4843546937
2017-12-19,984508.6457396524,975678.7409613781,1005357.5079672597,1040149.9962407375,1028237.2654914351,1023281.0028980002,1346420.3905958177
2017-12-20,984905.2599383913,976184.3909769044,1005491.8127835959,1039604.9873729849,1027129.0645740113,1022020.5010070902,1320368.03375858
2017-12-21,983080.6137839395,973544.9451771856,1005626.1355415931,1041746.3196083579,1027259.6878209235,1023644.4812663181,1300913.071216471
2017-12-22,983497.914070513,974079.5681244071,1005760.4762436482,1041473.8488294691,1026085.6511097107,1023672.1337179174,1252355.737437943
2017-12-26,985999.1348942334,977391.8742935201,1006298.0185403952,1040227.739261888,1020543.4933478595,1023275.6416072532,1314793.5043611326
2017-12-27,985179.4379951293,976175.1428015984,1006432.4489987032,1040734.1122039779,1020673.9069266386,1024851.6645325865,1308514.72293625
2017-12-28,988915.2047495025,981407.2868926645,1006566.8974154567,1042875.2425094259,1021912.4165887752,1025816.7449844832,1278102.1834952896
2017-12-29,990522.3811950072,983629.6340983876,1006701.3637930548,1038943.2630085442,1015588.4063586477,1023909.6017282434,1279526.366125232
2018-01-02,990396.4574694496,983224.2403199424,1007239.4089598849,1046379.1978791433,1033388.4970191484,1027707.0117397648,1292946.0838682936
2018-01-03,991868.513268114,985255.6561807034,1007373.9651777027,1052997.8550330258,1043430.02808295,1031645.0577011161,1298734.2815027495
2018-01-04,992041.9231802161,985445.3246773984,1007508.5393707661,1057435.8036161475,1045254.979513327,1033989.2302691793,1309062.0889054355
